ISim log file
Running: F:\WorkSpace\ISE_workspace\CPU\level5\Test_CPU_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb F:/WorkSpace/ISE_workspace/CPU/level5/Test_CPU_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 2ms
Simulator is doing circuit initialization process.
Finished circuit initialization process.
pc:     id_ir      :reg_A:reg_B:ALUo :reg_C:da:dd  :w:reC1:gr1 :gp:gr2 :gr3 :gr4 :ddin:zf:nf:cf:beq:md4
00:xxxxxxxxxxxxxxxx:xxxx :xxxx :xxxx :xxxx :xx:xxxx:x:xxxx:xxxx:xx:xxxx:xxxx:xxxx:xxxx: x: x: x :00 :c369
23:0011001100010001:0010 :000d :001d :c369 :69:8000:0:001c:c369:69:69c3:8000:0000:xxxx: 0: 0: 1 :00 :c369
24:0001101101111110:c369 :0001 :61b4 :001d :1d:c369:1:c369:c369:1d:69c3:8000:0000:xxxx: 0: 0: 1 :00 :c369
25:0011001100011000:0010 :000e :001e :61b4 :b4:c369:0:001d:c369:b4:69c3:c369:0000:xxxx: 0: 0: 1 :00 :c369
26:0001101101111111:c369 :0008 :00c3 :001e :1e:61b4:1:61b4:c369:1e:69c3:c369:0000:xxxx: 0: 0: 1 :00 :c369
27:0011001100011111:0010 :000f :001f :00c3 :c3:61b4:0:001e:c369:c3:69c3:61b4:0000:xxxx: 0: 0: 1 :00 :c369
28:0100111100010000:c369 :000f :0001 :001f :1f:00c3:1:00c3:c369:1f:69c3:61b4:0000:xxxx: 0: 0: 1 :00 :c369
29:0001101101110000:0010 :0010 :0020 :0001 :01:00c3:0:001f:c369:01:69c3:00c3:0000:0004: 0: 0: 0 :00 :c369
2a:0010101100010000:0020 :0000 :0020 :0020 :20:00c3:0:0001:c369:20:69c3:00c3:0000:xxxx: 0: 0: 0 :00 :c369
2b:0001101101110001:c369 :0000 :c369 :0020 :20:0001:1:0020:c369:20:69c3:0001:0000:xxxx: 0: 1: 0 :00 :c369
2c:0010101100010001:0020 :0001 :0021 :c369 :69:0001:0:0020:c369:69:69c3:0001:0000:xxxx: 0: 0: 0 :00 :c369
2d:0001101101110010:c369 :0001 :86d2 :0021 :21:c369:1:c369:c369:21:69c3:0001:0000:xxxx: 0: 1: 0 :00 :c369
2e:0010101100011000:0020 :0002 :0022 :86d2 :d2:c369:0:0021:c369:d2:69c3:c369:0000:xxxx: 0: 0: 0 :00 :c369
2f:0001101101110011:c369 :0008 :6900 :0022 :22:86d2:1:86d2:c369:22:69c3:c369:0000:xxxx: 0: 0: 0 :00 :c369
30:0010101100011111:0020 :0003 :0023 :6900 :00:86d2:0:0022:c369:00:69c3:86d2:0000:fffd: 0: 0: 0 :00 :c369
31:0001101101110100:c369 :000f :8000 :0023 :23:6900:1:6900:c369:23:69c3:86d2:0000:xxxx: 0: 1: 0 :00 :c369
32:0010101100100000:0020 :0004 :0024 :8000 :00:6900:0:0023:c369:00:69c3:6900:0000:fffd: 0: 0: 0 :00 :c369
33:0001101101110101:69c3 :0000 :69c3 :0024 :24:8000:1:8000:c369:24:69c3:6900:0000:xxxx: 0: 0: 0 :00 :c369
34:0010101100100001:0020 :0005 :0025 :69c3 :c3:8000:0:0024:c369:c3:69c3:8000:0000:xxxx: 0: 0: 0 :00 :c369
35:0001101101110110:69c3 :0001 :d386 :0025 :25:69c3:1:69c3:c369:25:69c3:8000:0000:xxxx: 0: 1: 0 :00 :c369
36:0010101100101000:0020 :0006 :0026 :d386 :86:69c3:0:0025:c369:86:69c3:69c3:0000:xxxx: 0: 0: 0 :00 :c369
37:0001101101110111:69c3 :0008 :c300 :0026 :26:d386:1:d386:c369:26:69c3:69c3:0000:xxxx: 0: 1: 0 :00 :c369
38:0010101100101111:0020 :0007 :0027 :c300 :00:d386:0:0026:c369:00:69c3:d386:0000:fffd: 0: 0: 0 :00 :c369
39:0001101101111000:69c3 :000f :8000 :0027 :27:c300:1:c300:c369:27:69c3:d386:0000:xxxx: 0: 1: 0 :00 :c369
3a:0011101100010000:0020 :0008 :0028 :8000 :00:c300:0:0027:c369:00:69c3:c300:0000:fffd: 0: 0: 0 :00 :c369
3b:0001101101111001:c369 :0000 :c369 :0028 :28:8000:1:8000:c369:28:69c3:c300:0000:xxxx: 0: 1: 0 :00 :c369
3c:0011101100010001:0020 :0009 :0029 :c369 :69:8000:0:0028:c369:69:69c3:8000:0000:xxxx: 0: 0: 0 :00 :c369
3d:0001101101111010:c369 :0001 :e1b4 :0029 :29:c369:1:c369:c369:29:69c3:8000:0000:xxxx: 0: 1: 0 :00 :c369
3e:0011101100011000:0020 :000a :002a :e1b4 :b4:c369:0:0029:c369:b4:69c3:c369:0000:xxxx: 0: 0: 0 :00 :c369
3f:0001101101111011:c369 :0008 :ffc3 :002a :2a:e1b4:1:e1b4:c369:2a:69c3:c369:0000:xxxx: 0: 1: 0 :00 :c369
40:0011101100011111:0020 :000b :002b :ffc3 :c3:e1b4:0:002a:c369:c3:69c3:e1b4:0000:xxxx: 0: 0: 0 :00 :c369
41:0001101101111100:c369 :000f :ffff :002b :2b:ffc3:1:ffc3:c369:2b:69c3:e1b4:0000:xxxx: 0: 1: 0 :00 :c369
42:0011101100100000:0020 :000c :002c :ffff :ff:ffc3:0:002b:c369:ff:69c3:ffc3:0000:xxxx: 0: 0: 0 :00 :c369
43:0001101101111101:69c3 :0000 :69c3 :002c :2c:ffff:1:ffff:c369:2c:69c3:ffc3:0000:xxxx: 0: 0: 0 :00 :c369
44:0011101100100001:0020 :000d :002d :69c3 :c3:ffff:0:002c:c369:c3:69c3:ffff:0000:xxxx: 0: 0: 0 :00 :c369
45:0001101101111110:69c3 :0001 :34e1 :002d :2d:69c3:1:69c3:c369:2d:69c3:ffff:0000:xxxx: 0: 0: 0 :00 :c369
46:0011101100101000:0020 :000e :002e :34e1 :e1:69c3:0:002d:c369:e1:69c3:69c3:0000:xxxx: 0: 0: 0 :00 :c369
47:0001101101111111:69c3 :0008 :0069 :002e :2e:34e1:1:34e1:c369:2e:69c3:69c3:0000:xxxx: 0: 0: 0 :00 :c369
48:0100111100010000:0020 :000f :002f :0069 :69:34e1:0:002e:c369:69:69c3:34e1:0000:xxxx: 0: 0: 0 :00 :c369
49:0011101100101111:0020 :0010 :0030 :002f :2f:0069:1:0069:c369:2f:69c3:34e1:0000:xxxx: 0: 0: 0 :00 :c369
4a:0001101101110000:69c3 :000f :0000 :0030 :30:0069:0:002f:c369:30:69c3:0069:0000:xxxx: 1: 0: 0 :00 :c369
4b:0001000100000101:0030 :0000 :0030 :0000 :00:0069:0:0030:c369:00:69c3:0069:0000:fffd: 0: 0: 0 :00 :c369
4c:0001001000000110:0000 :0005 :0005 :0030 :30:0000:1:0000:c369:30:69c3:0069:0000:xxxx: 0: 0: 0 :00 :c369
4d:0001001100000111:0000 :0006 :0006 :0005 :05:0000:0:0030:c369:05:69c3:0000:0000:0041: 0: 0: 0 :00 :c369
4e:1100000001001111:0000 :0007 :0007 :0006 :06:0000:0:0041:c369:06:69c3:0000:0000:ffff: 0: 0: 0 :00 :c369
4f:0000000000000000:0000 :0007 :0007 :0007 :07:0000:0:ffff:0041:07:69c3:0000:0000:0001: 0: 0: 0 :00 :c369
50:1100100100010000:0000 :0007 :0007 :0007 :07:0000:0:0001:0041:07:ffff:0000:0000:0001: 0: 0: 0 :51 :c369
51:0000000000000000:0000 :0007 :0007 :0007 :07:0000:0:0007:0041:07:ffff:0001:0000:0001: 0: 0: 0 :51 :c369
52:0100010000100011:0000 :0007 :0007 :0007 :07:0000:0:0007:0041:07:ffff:0001:0000:0001: 0: 0: 0 :51 :c369
53:1111100100101000:ffff :0001 :0000 :0007 :07:0000:0:0007:0041:07:ffff:0001:0000:0001: 1: 0: 1 :69 :c369
54:1111000100010100:ffff :0001 :0000 :0000 :00:0000:0:0007:0041:00:ffff:0001:0000:fffd: 1: 0: 1 :55 :c369
55:0000000000000000:ffff :0001 :0000 :0000 :00:0000:0:0000:0041:00:ffff:0001:0000:fffd: 1: 0: 1 :55 :c369
56:0100010000110011:ffff :0001 :0000 :0000 :00:0000:0:0000:0041:00:ffff:0001:0000:fffd: 1: 0: 1 :55 :c369
57:1111000100101000:0001 :0001 :0002 :0000 :00:0000:0:0000:0041:00:ffff:0001:0000:fffd: 0: 0: 0 :69 :c369
58:1111100100011000:0001 :0001 :0002 :0002 :02:0000:0:0000:0041:02:ffff:0001:0000:0005: 0: 0: 0 :59 :c369
59:0000000000000000:0001 :0001 :0002 :0002 :02:0000:0:0002:0041:02:ffff:0001:0000:0005: 0: 0: 0 :59 :c369
5a:0110000000110011:0001 :0001 :0002 :0002 :02:0000:0:0002:0041:02:ffff:0001:0002:0005: 0: 0: 0 :59 :c369
5b:1101100100101000:0001 :0001 :0000 :0002 :02:0000:0:0002:0041:02:ffff:0001:0002:0005: 1: 0: 0 :69 :c369
5c:1101000100011100:0001 :0001 :0000 :0000 :00:0000:0:0002:0041:00:ffff:0001:0002:fffd: 1: 0: 0 :5d :c369
5d:0000000000000000:0001 :0001 :0000 :0000 :00:0000:0:0000:0041:00:ffff:0001:0002:fffd: 1: 0: 0 :5d :c369
5e:0110000001000011:0001 :0001 :0000 :0000 :00:0000:0:0000:0041:00:ffff:0001:0002:fffd: 1: 0: 0 :5d :c369
5f:1101000100101000:0002 :0001 :0001 :0000 :00:0000:0:0000:0041:00:ffff:0001:0002:fffd: 0: 0: 0 :69 :c369
60:1101100100100000:0002 :0001 :0001 :0001 :01:0000:0:0000:0041:01:ffff:0001:0002:0004: 0: 0: 0 :61 :c369
61:0000000000000000:0002 :0001 :0001 :0001 :01:0000:0:0001:0041:01:ffff:0001:0002:0004: 0: 0: 0 :61 :c369
62:0110000000110100:0002 :0001 :0001 :0001 :01:0000:0:0001:0041:01:ffff:0001:0002:0004: 0: 0: 0 :61 :c369
63:1110100100101000:0001 :0002 :ffff :0001 :01:0000:0:0001:0041:01:ffff:0001:0002:0004: 0: 1: 1 :69 :c369
64:1110000100100100:0001 :0002 :ffff :ffff :ff:0000:0:0001:0041:ff:ffff:0001:0002:xxxx: 0: 1: 1 :65 :c369
65:0000000000000000:0001 :0002 :ffff :ffff :ff:0000:0:ffff:0041:ff:ffff:0001:0002:xxxx: 0: 1: 1 :65 :c369
66:0110000001000011:0001 :0002 :ffff :ffff :ff:0000:0:ffff:0041:ff:ffff:0001:0002:xxxx: 0: 1: 1 :65 :c369
67:1110000100101000:0002 :0001 :0001 :ffff :ff:0000:0:ffff:0041:ff:ffff:0001:0002:xxxx: 0: 0: 0 :69 :c369
68:1110100100100111:0002 :0001 :0001 :0001 :01:0000:0:ffff:0041:01:ffff:0001:0002:0004: 0: 0: 0 :68 :c369
68:0000000000000000:0002 :0001 :0001 :0001 :01:0000:0:0001:0041:01:ffff:0001:0002:0004: 0: 0: 0 :68 :c369
69:0001111101111000:0002 :0001 :0001 :0001 :01:0000:0:0001:0041:01:ffff:0001:0002:0004: 0: 0: 0 :68 :c369
6a:0001000100000000:0030 :0008 :0038 :0001 :01:0000:0:0001:0041:01:ffff:0001:0002:0004: 0: 0: 0 :68 :c369
6b:0001000100000001:0000 :0000 :0000 :0038 :38:0030:1:0001:0041:38:ffff:0001:0002:xxxx: 1: 0: 0 :68 :c369
6c:0001000100000010:0000 :0001 :0001 :0000 :00:0030:0:0038:0041:00:ffff:0001:0002:fffd: 0: 0: 0 :68 :c369
6d:0001000100000011:0000 :0002 :0002 :0001 :01:0030:0:fffd:0041:01:ffff:0001:0002:0004: 0: 0: 0 :68 :c369
6e:0001000100000100:0000 :0003 :0003 :0002 :02:0030:0:0004:fffd:02:ffff:0001:0002:0005: 0: 0: 0 :68 :c369
6f:0001000100000101:0000 :0004 :0004 :0003 :03:0030:0:0005:0004:03:ffff:0001:0002:c369: 0: 0: 0 :68 :c369
70:0001000100000110:0000 :0005 :0005 :0004 :04:0030:0:c369:0005:04:ffff:0001:0002:69c3: 0: 0: 0 :68 :c369
71:0001000100000111:0000 :0006 :0006 :0005 :05:0030:0:69c3:c369:05:ffff:0001:0002:0041: 0: 0: 0 :68 :c369
72:0001000100001000:0000 :0007 :0007 :0006 :06:0030:0:0041:69c3:06:ffff:0001:0002:ffff: 0: 0: 0 :68 :c369
73:0001000100001001:0000 :0008 :0008 :0007 :07:0030:0:ffff:0041:07:ffff:0001:0002:0001: 0: 0: 0 :68 :c369
74:0001000100001010:0000 :0009 :0009 :0008 :08:0030:0:0001:ffff:08:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
75:0001000100001011:0000 :000a :000a :0009 :09:0030:0:0000:0001:09:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
76:0001000100001100:0000 :000b :000b :000a :0a:0030:0:0000:0000:0a:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
77:0001000100001101:0000 :000c :000c :000b :0b:0030:0:0000:0000:0b:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
78:0001000100001110:0000 :000d :000d :000c :0c:0030:0:0000:0000:0c:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
79:0001000100001111:0000 :000e :000e :000d :0d:0030:0:0000:0000:0d:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
7a:0100100000010000:0000 :000f :000f :000e :0e:0030:0:0000:0000:0e:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
7b:0001000100000000:0000 :0010 :0010 :000f :0f:0030:0:0000:0000:0f:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
7c:0001000100000001:0010 :0000 :0010 :0010 :10:0030:0:0000:0000:10:ffff:0001:0002:b600: 0: 0: 0 :68 :c369
7d:0001000100000010:0010 :0001 :0011 :0010 :10:0030:0:0010:0000:10:ffff:0001:0002:b600: 0: 0: 0 :68 :c369
7e:0001000100000011:0010 :0002 :0012 :0011 :11:0030:0:b600:0000:11:ffff:0001:0002:0001: 0: 0: 0 :68 :c369
7f:0001000100000100:0010 :0003 :0013 :0012 :12:0030:0:0001:b600:12:ffff:0001:0002:0005: 0: 0: 0 :68 :c369
80:0001000100000101:0010 :0004 :0014 :0013 :13:0030:0:0005:0001:13:ffff:0001:0002:0001: 0: 0: 0 :68 :c369
81:0001000100000110:0010 :0005 :0015 :0014 :14:0030:0:0001:0005:14:ffff:0001:0002:ffff: 0: 0: 0 :68 :c369
82:0001000100000111:0010 :0006 :0016 :0015 :15:0030:0:ffff:0001:15:ffff:0001:0002:fffe: 0: 0: 0 :68 :c369
83:0001000100001000:0010 :0007 :0017 :0016 :16:0030:0:fffe:ffff:16:ffff:0001:0002:4141: 0: 0: 0 :68 :c369
84:0001000100001001:0010 :0008 :0018 :0017 :17:0030:0:4141:fffe:17:ffff:0001:0002:ebeb: 0: 0: 0 :68 :c369
85:0001000100001010:0010 :0009 :0019 :0018 :18:0030:0:ebeb:4141:18:ffff:0001:0002:aaaa: 0: 0: 0 :68 :c369
86:0001000100001011:0010 :000a :001a :0019 :19:0030:0:aaaa:ebeb:19:ffff:0001:0002:c369: 0: 0: 0 :68 :c369
87:0001000100001100:0010 :000b :001b :001a :1a:0030:0:c369:aaaa:1a:ffff:0001:0002:86d2: 0: 0: 0 :68 :c369
88:0001000100001101:0010 :000c :001c :001b :1b:0030:0:86d2:c369:1b:ffff:0001:0002:3690: 0: 0: 0 :68 :c369
89:0001000100001110:0010 :000d :001d :001c :1c:0030:0:3690:86d2:1c:ffff:0001:0002:8000: 0: 0: 0 :68 :c369
8a:0001000100001111:0010 :000e :001e :001d :1d:0030:0:8000:3690:1d:ffff:0001:0002:c369: 0: 0: 0 :68 :c369
8b:0100100000010000:0010 :000f :001f :001e :1e:0030:0:c369:8000:1e:ffff:0001:0002:61b4: 0: 0: 0 :68 :c369
8c:0001000100000000:0010 :0010 :0020 :001f :1f:0030:0:61b4:c369:1f:ffff:0001:0002:00c3: 0: 0: 0 :68 :c369
8d:0001000100000001:0020 :0000 :0020 :0020 :20:0030:0:00c3:61b4:20:ffff:0001:0002:0001: 0: 0: 0 :68 :c369
8e:0001000100000010:0020 :0001 :0021 :0020 :20:0030:0:0020:00c3:20:ffff:0001:0002:0001: 0: 0: 0 :68 :c369
8f:0001000100000011:0020 :0002 :0022 :0021 :21:0030:0:0001:00c3:21:ffff:0001:0002:c369: 0: 0: 0 :68 :c369
90:0001000100000100:0020 :0003 :0023 :0022 :22:0030:0:c369:0001:22:ffff:0001:0002:86d2: 0: 0: 0 :68 :c369
91:0001000100000101:0020 :0004 :0024 :0023 :23:0030:0:86d2:c369:23:ffff:0001:0002:6900: 0: 0: 0 :68 :c369
92:0001000100000110:0020 :0005 :0025 :0024 :24:0030:0:6900:86d2:24:ffff:0001:0002:8000: 0: 0: 0 :68 :c369
93:0001000100000111:0020 :0006 :0026 :0025 :25:0030:0:8000:6900:25:ffff:0001:0002:69c3: 0: 0: 0 :68 :c369
94:0001000100001000:0020 :0007 :0027 :0026 :26:0030:0:69c3:8000:26:ffff:0001:0002:d386: 0: 0: 0 :68 :c369
95:0001000100001001:0020 :0008 :0028 :0027 :27:0030:0:d386:69c3:27:ffff:0001:0002:c300: 0: 0: 0 :68 :c369
96:0001000100001010:0020 :0009 :0029 :0028 :28:0030:0:c300:d386:28:ffff:0001:0002:8000: 0: 0: 0 :68 :c369
97:0001000100001011:0020 :000a :002a :0029 :29:0030:0:8000:c300:29:ffff:0001:0002:c369: 0: 0: 0 :68 :c369
98:0001000100001100:0020 :000b :002b :002a :2a:0030:0:c369:8000:2a:ffff:0001:0002:e1b4: 0: 0: 0 :68 :c369
99:0001000100001101:0020 :000c :002c :002b :2b:0030:0:e1b4:c369:2b:ffff:0001:0002:ffc3: 0: 0: 0 :68 :c369
9a:0001000100001110:0020 :000d :002d :002c :2c:0030:0:ffc3:e1b4:2c:ffff:0001:0002:ffff: 0: 0: 0 :68 :c369
9b:0001000100001111:0020 :000e :002e :002d :2d:0030:0:ffff:ffc3:2d:ffff:0001:0002:69c3: 0: 0: 0 :68 :c369
9c:0100100000010000:0020 :000f :002f :002e :2e:0030:0:69c3:ffff:2e:ffff:0001:0002:34e1: 0: 0: 0 :68 :c369
9d:0001000100000000:0020 :0010 :0030 :002f :2f:0030:0:34e1:69c3:2f:ffff:0001:0002:0069: 0: 0: 0 :68 :c369
9e:0001000100000001:0030 :0000 :0030 :0030 :30:0030:0:0069:34e1:30:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
9f:0001000100000010:0030 :0001 :0031 :0030 :30:0030:0:0030:0069:30:ffff:0001:0002:0000: 0: 0: 0 :68 :c369
a0:0001000100000011:0030 :0002 :0032 :0031 :31:0030:0:0000:0069:31:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a1:0001000100000100:0030 :0003 :0033 :0032 :32:0030:0:xxxx:0000:32:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a2:0001000100000101:0030 :0004 :0034 :0033 :33:0030:0:xxxx:xxxx:33:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a3:0001000100000110:0030 :0005 :0035 :0034 :34:0030:0:xxxx:xxxx:34:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a4:0001000100000111:0030 :0006 :0036 :0035 :35:0030:0:xxxx:xxxx:35:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a5:0001000100001000:0030 :0007 :0037 :0036 :36:0030:0:xxxx:xxxx:36:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a6:0001000100001001:0030 :0008 :0038 :0037 :37:0030:0:xxxx:xxxx:37:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a7:0001000100001010:0030 :0009 :0039 :0038 :38:0030:0:xxxx:xxxx:38:ffff:0001:0002:0030: 0: 0: 0 :68 :c369
a8:0001000100001011:0030 :000a :003a :0039 :39:0030:0:0030:xxxx:39:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
a9:0001000100001100:0030 :000b :003b :003a :3a:0030:0:xxxx:0030:3a:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
aa:0001000100001101:0030 :000c :003c :003b :3b:0030:0:xxxx:xxxx:3b:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
ab:0001000100001110:0030 :000d :003d :003c :3c:0030:0:xxxx:xxxx:3c:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
ac:0001000100001111:0030 :000e :003e :003d :3d:0030:0:xxxx:xxxx:3d:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
ad:0000100000000000:0030 :000f :003f :003e :3e:0030:0:xxxx:xxxx:3e:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
ae:0000100000000000:0030 :000f :003f :003f :3f:0030:0:xxxx:xxxx:3f:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
af:0000100000000000:0030 :000f :003f :003f :3f:0030:0:xxxx:xxxx:3f:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
b0:0000100000000000:0030 :000f :003f :003f :3f:0030:0:003f:xxxx:3f:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
b1:0000100000000000:0030 :000f :003f :003f :3f:0030:0:003f:xxxx:3f:ffff:0001:0002:xxxx: 0: 0: 0 :68 :c369
